12.09.2018;12.09.2018;12.09.2018;12.09.2018;12.10.2018;12.10.2018;12.10.2018;12.10.2018;12.11.2018;12.11.2018;12.11.2018;12.11.2018;12.12.2018;12.12.2018;12.12.2018;12.12.2018
<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
105240;105270;105240;105240;114020;114020;113960;114020;112440;112550;112430;112550;112440;112490;112400;112450
105280;105280;105270;105270;114000;114070;113960;114020;112550;112640;112500;112630;112440;112480;112410;112450
105300;105300;105280;105280;114020;114080;114010;114010;112620;112650;112560;112620;112470;112530;112440;112520
105290;105340;105280;105340;114030;114040;113950;113970;112600;112650;112560;112600;112510;112510;112350;112390
105300;105370;105300;105370;113980;113990;113920;113940;112600;112680;112570;112580;112390;112400;112350;112360
105350;105380;105340;105350;113940;114000;113920;113990;112580;112620;112530;112590;112350;112390;112320;112360
105390;105400;105370;105370;113990;114000;113970;113990;112590;112630;112550;112560;112370;112440;112360;112400
105410;105410;105390;105390;113980;114050;113980;114050;112570;112620;112550;112570;112410;112420;112340;112380
105380;105380;105370;105370;114040;114050;113940;113970;112560;112600;112560;112580;112390;112410;112330;112350
105340;105340;105340;105340;113980;114020;113940;114010;112590;112660;112580;112660;112350;112360;112320;112330
105300;105310;105300;105310;114010;114080;114010;114030;112650;112670;112630;112630;112330;112380;112320;112380
105320;105320;105320;105320;114040;114070;114030;114070;112630;112700;112630;112700;112380;112390;112360;112370
105330;105330;105330;105330;114060;114090;114020;114090;112700;112710;112620;112620;112360;112360;112290;112310
105320;105320;105310;105320;114090;114180;114070;114140;112620;112680;112620;112670;112310;112390;112290;112340
105360;105400;105360;105400;114140;114180;114040;114050;112670;112680;112590;112620;112350;112430;112330;112330
105430;105480;105430;105450;114050;114080;113880;113890;112600;112640;112590;112610;112340;112410;112320;112410
105410;105420;105380;105380;113890;113940;113880;113910;112620;112620;112470;112480;112400;112420;112380;112420
105400;105400;105390;105390;113890;113920;113840;113870;112470;112500;112430;112450;112410;112470;112400;112460
105390;105390;105390;105390;113870;113900;113810;113860;112460;112510;112450;112470;112460;112510;112450;112500
105370;105390;105350;105390;113840;113900;113840;113900;112460;112540;112450;112530;112500;112580;112490;112540
105400;105420;105400;105420;113900;113920;113720;113770;112520;112520;112450;112450;112520;112520;112350;112360
105410;105450;105410;105440;113760;113800;113750;113760;112440;112450;112350;112420;112370;112440;112360;112400
105440;105470;105430;105450;113770;113810;113740;113790;112410;112540;112410;112500;112400;112460;112400;112410
105450;105450;105420;105420;113790;113870;113760;113810;112510;112510;112420;112440;112420;112450;112350;112370
105420;105480;105420;105460;113800;113840;113800;113810;112450;112520;112450;112470;112370;112390;112320;112330
105490;105490;105470;105470;113810;113850;113780;113830;112470;112470;112330;112400;112340;112460;112340;112410
105450;105460;105430;105430;113840;113940;113830;113900;112390;112400;112260;112280;112400;112430;112370;112370
105430;105440;105390;105390;113900;114100;113890;114090;112280;112330;112280;112300;112400;112410;112330;112330
105400;105400;105400;105400;114100;114100;113980;114020;112290;112290;112220;112290;112350;112370;112310;112340
105390;105410;105390;105410;114010;114080;113990;114020;112280;112330;112240;112270;112340;112360;112300;112340
105420;105420;105420;105420;114020;114090;114010;114090;112260;112360;112240;112330;112340;112400;112340;112400
105420;105430;105410;105430;114090;114100;114030;114060;112340;112350;112260;112280;112400;112440;112390;112430
105450;105470;105420;105420;114060;114150;114030;114100;112280;112350;112270;112340;112420;112430;112350;112380
105400;105400;105360;105360;114100;114160;114100;114140;112340;112400;112330;112330;112390;112400;112270;112310
